AlGaN,xbarrier,lsg,lg,lgd,Recess,Vth,ss,ss_at,i_on,i_off
0.01,0.10,1.25,1.50,10.00, 1.00,-0.7360437525892001,98.17469734649406,-0.70968216,0.022228447389473684,3.0584003865305156e-13
0.01,0.10,1.25,1.50,10.00, 10.00,1.2616322913496993,83.17680150827138,1.3587608999999998,0.007819377427365054,8.323563999091209e-12
0.01,0.10,1.25,1.50,10.00, 3.00,-0.3268299865667697,99.71544397770592,-0.49155446,0.02213525249394943,9.797019386528069e-12
0.01,0.10,1.25,1.50,10.00, 5.00,0.1500924314510951,104.10659711778563,-0.038966508999999996,0.021951351284066528,2.792880320866547e-13
0.01,0.10,1.25,1.50,10.00, 8.00,0.9043390964625294,113.35840116004489,0.83048131,0.020809135416603026,4.520847608421057e-12
0.01,0.10,1.25,1.50,4.00, 1.00,-0.8042932353573128,95.88617055659836,-0.9210110999999999,0.041424353136842104,1.2189951494052342e-11
0.01,0.10,1.25,1.50,4.00, 10.00,1.268416840599736,78.50877539348888,1.3405953000000002,0.008744821925249346,1.1751069765711159e-11
0.01,0.10,1.25,1.50,4.00, 3.00,-0.40126632031450865,98.00309829863396,-0.59281829,0.04109947759555711,3.95538320123835e-12
0.01,0.10,1.25,1.50,4.00, 5.00,0.10711801831454801,104.2953357407717,0.0,0.040458453813856175,5.1639836156557975e-12
0.01,0.10,1.25,1.50,4.00, 8.00,0.9087027606745288,114.37089972581815,0.89991219,0.03660162398336879,8.702332118225088e-12
0.01,0.10,1.25,1.50,7.00, 1.00,-0.7594665890537863,98.32519598967446,-0.7125,0.028938634105263157,5.6091551473684226e-12
0.01,0.10,1.25,1.50,7.00, 10.00,1.24249374452773,105.07956108350253,1.1926926000000002,0.008273830252552012,4.0582538034539243e-13
0.01,0.10,1.25,1.50,7.00, 3.00,-0.35234180570551865,100.71190735051272,-0.2861875,0.02878013684253827,2.6202748043184846e-12
0.01,0.10,1.25,1.50,7.00, 5.00,0.13702361623691103,105.82087432265962,0.062311084,0.028467902827818362,2.5145662578947355e-12
0.01,0.10,1.25,1.50,7.00, 8.00,0.9340896318660065,98.8052156636345,1.2774101,0.02655026335223579,4.529404568421054e-12
0.01,0.10,1.25,1.80,10.00, 1.00,-0.7220601324831065,97.2878135381823,-0.71108688,0.022033929915789476,8.138590437802872e-12
0.01,0.10,1.25,1.80,10.00, 10.00,1.2551913015506462,99.72458982652807,1.2069446000000001,0.006963939124557725,1.833054272808589e-12
0.01,0.10,1.25,1.80,10.00, 3.00,-0.3091312804945193,96.65566461314023,-0.5194198,0.021923413641948487,2.653956583448e-12
0.01,0.10,1.25,1.80,10.00, 5.00,0.16553928306485102,104.81315697850914,0.069085645,0.02170710253302147,1.0553985645421318e-11
0.01,0.10,1.25,1.80,10.00, 8.00,0.9190621642631911,103.55627558661152,0.63348994,0.0203794691573024,3.794323964672354e-12
0.01,0.10,1.25,1.80,4.00, 1.00,-0.7907142193092964,96.07476781637237,-0.87373672,0.040760410442105266,4.329478106992825e-12
0.01,0.10,1.25,1.80,4.00, 10.00,1.2526773542492127,104.95358819077065,1.1700638,0.007706546748446526,8.0979782301678e-12
0.01,0.10,1.25,1.80,4.00, 3.00,-0.3880374803321598,98.2954850325709,-0.57657403,0.04037918482461997,1.6906819526147451e-12
0.01,0.10,1.25,1.80,4.00, 5.00,0.12976715950005419,105.42734314118884,0.13551287,0.03963732504600922,5.376213271612138e-12
0.01,0.10,1.25,1.80,4.00, 8.00,0.920953295665381,113.19554331390546,0.78060407,0.03526932653475911,-4.3545788881578953e-13
0.01,0.10,1.25,1.80,7.00, 1.00,-0.7371973783160537,89.97531403077471,-0.87373672,0.028610641006968106,4.4532134067743185e-12
0.01,0.10,1.25,1.80,7.00, 10.00,1.252500941080347,109.2995820631185,1.1216066,0.007323908644176467,2.3900895226261266e-12
0.01,0.10,1.25,1.80,7.00, 3.00,-0.3321427900427295,99.22035367699513,-0.48290779,0.028424337890984655,4.746726979219413e-12
0.01,0.10,1.25,1.80,7.00, 5.00,0.16263122503227542,104.67752413819548,0.0,0.028058937353889542,7.629222646817685e-12
0.01,0.10,1.25,1.80,7.00, 8.00,0.9193689638551414,113.38968385672358,0.71273887,0.025850284223893755,1.2307558516979188e-11
0.01,0.10,1.25,2.00,10.00, 1.00,-0.7143177549228549,97.0423547520176,-0.7125,0.02190748306315789,3.0362528010526323e-12
0.01,0.10,1.25,2.00,10.00, 10.00,1.2589341867232489,105.21926772527641,1.1107499,0.006487926328621285,3.402143552703084e-12
0.01,0.10,1.25,2.00,10.00, 3.00,-0.30664484592909647,98.70796397005854,-0.43369834,0.02178581618758526,1.5402475632845087e-11
0.01,0.10,1.25,2.00,10.00, 5.00,0.17697117900116982,105.0750008372085,0.0,0.021548095997282572,7.211968269736832e-13
0.01,0.10,1.25,2.00,10.00, 8.00,0.9276990088156782,110.14804990061141,0.8011604999999999,0.020103243777375157,7.158149421052646e-13
0.01,0.10,1.25,2.00,4.00, 1.00,-0.7825167756999303,97.42340571655475,-0.73032869,0.04033113263157895,1.117599558858992e-11
0.01,0.10,1.25,2.00,4.00, 10.00,1.2667577039650502,99.5176296760906,1.2409584999999999,0.007133136199857293,1.4454574689179596e-12
0.01,0.10,1.25,2.00,4.00, 3.00,-0.3789085690222257,98.03959516307438,-0.51951795,0.0399155693820699,1.5482851539925166e-12
0.01,0.10,1.25,2.00,4.00, 5.00,0.14641073794777013,104.71589262484846,0.0055158197,0.03911027106569523,3.92076209806069e-12
0.01,0.10,1.25,2.00,4.00, 8.00,0.9285752068930242,112.80714902657353,0.85995748,0.03443466238145426,4.38632430718782e-12
0.01,0.10,1.25,2.00,7.00, 1.00,-0.7387960115969532,97.31262481602533,-0.7125,0.028397503547368422,3.5040319263157886e-12
0.01,0.10,1.25,2.00,7.00, 10.00,1.2695649119762162,97.29788289557231,1.3824502,0.0068209922554301064,5.642915025345525e-12
0.01,0.10,1.25,2.00,7.00, 3.00,-0.33262017651077364,85.11618541952379,-0.77353693,0.02819207952753311,-3.429706549538355e-12
0.01,0.10,1.25,2.00,7.00, 5.00,0.16115888798389444,100.17939272251313,0.0,0.027792704937624,8.194291157894735e-12
0.01,0.10,1.25,2.00,7.00, 8.00,0.9405056402567339,99.13328421607265,1.1814786,0.0254041902238339,8.864109577278303e-12
0.01,0.10,1.50,1.50,10.00, 1.00,-0.7445507374320677,97.19073766245462,-0.94353102,0.021804730754759236,6.319056919158798e-12
0.01,0.10,1.50,1.50,10.00, 10.00,1.2426440944695771,104.91610550898127,1.1993842,0.007753881353645665,3.071577089473684e-12
0.01,0.10,1.50,1.50,10.00, 3.00,-0.3362481105870764,98.6524551000198,-0.55660575,0.021715079413032554,6.796726354012072e-12
0.01,0.10,1.50,1.50,10.00, 5.00,0.14264670511945649,104.42624423419903,0.0,0.02153728764726484,1.9113870974589068e-12
0.01,0.10,1.50,1.50,10.00, 8.00,0.904452377014906,112.60593104821841,0.77352499,0.020432470477459677,1.1825481763157911e-12
0.01,0.10,1.50,1.50,4.00, 1.00,-0.8169705974067563,92.57310181790156,-0.94858688,0.03998113896842105,3.152581702056545e-14
0.01,0.10,1.50,1.50,4.00, 10.00,1.2414139624784266,110.07880549831327,1.0978729,0.00866501101624267,9.970385894736839e-12
0.01,0.10,1.50,1.50,4.00, 3.00,-0.41627758936641046,98.39411532405174,-0.54667691,0.03967730444931898,1.997434192356788e-12
0.01,0.10,1.50,1.50,4.00, 5.00,0.09418825643196538,103.78397087003987,0.0,0.03907582391440285,5.110476778804411e-12
0.01,0.10,1.50,1.50,4.00, 8.00,0.905936094949411,113.87532895337688,0.80527033,0.03545086008666714,1.443107052631579e-11
0.01,0.10,1.50,1.50,7.00, 1.00,-0.7697458498446473,97.85962804218595,-0.95,0.028225879736842107,8.828520028947372e-12
0.01,0.10,1.50,1.50,7.00, 10.00,1.2552369721744367,94.33725200376207,1.3724982,0.008203207004579627,4.979075714359049e-12
0.01,0.10,1.50,1.50,7.00, 3.00,-0.36444736920021975,99.27751977288028,-0.50115312,0.028074879561304993,-2.029076348636926e-12
0.01,0.10,1.50,1.50,7.00, 5.00,0.12159100585994345,104.45022971648713,0.0,0.027776349954911593,-2.5470865289048505e-12
0.01,0.10,1.50,1.50,7.00, 8.00,0.9357190856857796,100.55867265282613,1.2510718,0.025940943105673357,6.5721741263157885e-12
0.01,0.10,1.50,1.80,10.00, 1.00,-0.7295728113490142,97.40097917451821,-0.7125,0.02161854537894737,6.780644072368305e-14
0.01,0.10,1.50,1.80,10.00, 10.00,1.2563559178483696,104.47712437000932,1.2167122,0.006912645589983902,1.85907096268722e-12
0.01,0.10,1.50,1.80,10.00, 5.00,0.1600542151507374,98.52017257511405,-0.11389148,0.02130265423642341,4.155981574247831e-12
0.01,0.10,1.50,1.80,10.00, 8.00,0.9488291100420698,98.65798868299653,1.2502301000000002,0.020018677028966314,8.80654730526316e-12
0.01,0.10,1.50,1.80,4.00, 1.00,-0.8015283878236767,84.69056354343198,-0.95,0.03936022107368421,5.5864858951228745e-12
0.01,0.10,1.50,1.80,4.00, 10.00,1.2522486804211965,105.96125911047824,1.1355383,0.007644526304432376,4.654457257894736e-12
0.01,0.10,1.50,1.80,4.00, 3.00,-0.3996437715631163,93.47896006240053,-0.63101231,0.039003623366551395,1.2303218204639992e-12
0.01,0.10,1.50,1.80,4.00, 5.00,0.11459316122677836,103.87333839615717,0.0,0.03830857874743143,7.322122395618141e-12
0.01,0.10,1.50,1.80,4.00, 8.00,0.9302914390400645,105.1732487555387,0.62939957,0.03419710544842575,2.6735973210526302e-12
0.01,0.10,1.50,1.80,7.00, 1.00,-0.7559051994745712,97.80368818324162,-0.7125,0.027914219336842107,9.243390657894736e-12
0.01,0.10,1.50,1.80,7.00, 10.00,1.2520372800423951,105.17254045922823,1.1716668,0.0072717590059789465,7.234376185435299e-12
0.01,0.10,1.50,1.80,7.00, 3.00,-0.34998950895410896,100.95531125517947,-0.475,0.027735826299177306,3.1063132578947347e-12
0.01,0.10,1.50,1.80,7.00, 5.00,0.14395920208632626,100.4611086648062,-0.11389148,0.027386700006542565,-3.181050237523858e-12
0.01,0.10,1.50,1.80,7.00, 8.00,0.9192765975349906,113.6584319171865,0.87129341,0.025271732456219054,1.842179384886395e-12
0.01,0.10,1.50,2.00,10.00, 1.00,-0.7226703355511382,96.89268036378606,-0.7125,0.021495785532330107,-1.3537244977840108e-12
0.01,0.10,1.50,2.00,10.00, 10.00,1.2615228522259414,109.04223874726992,1.0847685,0.0064412087604911366,1.6353803988635008e-12
0.01,0.10,1.50,2.00,10.00, 3.00,-0.31271779188427357,78.26592799744613,-0.59279861,0.02137867469521217,3.5145581798837855e-12
0.01,0.10,1.50,2.00,10.00, 5.00,0.16906593253174002,103.05667101000473,0.0,0.021149215612835497,1.6057044238667105e-12
0.01,0.10,1.50,2.00,10.00, 8.00,0.9280492347571041,113.29796367703082,0.79942654,0.01975105938270301,4.498656214566416e-12
0.01,0.10,1.50,2.00,4.00, 1.00,-0.7943158186089787,79.86284154167639,-0.99727438,0.03896017615789474,-2.4044644010471603e-13
0.01,0.10,1.50,2.00,4.00, 10.00,1.2737555364466286,100.91312457934818,1.2594343000000001,0.0070802449024982474,5.011139168421052e-12
0.01,0.10,1.50,2.00,4.00, 3.00,-0.3918865927332955,97.20111002446023,-0.57849107,0.038571313849907016,4.1383844543376117e-13
0.01,0.10,1.50,2.00,4.00, 5.00,0.13161261114695574,105.33885063928602,0.0,0.037817021420725204,3.614997016281594e-12
0.01,0.10,1.50,2.00,4.00, 8.00,0.9290118144342723,111.48165370126706,0.82853226,0.03341000320682646,6.465587540930395e-12
0.01,0.10,1.50,2.00,7.00, 1.00,-0.7491961110025896,97.3138652435243,-0.71108688,0.027709969948025263,4.561802091713044e-13
0.01,0.10,1.50,2.00,7.00, 10.00,1.261555999706981,108.20980938898019,1.3321524,0.006771909922126484,3.4691831105263157e-12
0.01,0.10,1.50,2.00,7.00, 3.00,-0.3441225408535627,95.22348649187477,-0.56509902,0.027514580999972435,1.3316624246141051e-11
0.01,0.10,1.50,2.00,7.00, 5.00,0.15361939860345236,101.35492800438894,0.0,0.02713276610226358,5.512025389473684e-12
0.01,0.10,1.50,2.00,7.00, 8.00,0.9414860131787841,113.88255848554863,1.1103775,0.02484379436822287,2.555503243070713e-12
0.01,0.15,0.75,1.50,10.00, 1.00,-1.9783284362722797,91.7031570382871,-1.9,0.05106169667368421,2.0501219894736837e-12
0.01,0.15,0.75,1.50,10.00, 10.00,1.106732010563582,110.39550097698346,1.2056843000000002,0.038588564004945765,-6.012618952399087e-12
0.01,0.15,0.75,1.50,10.00, 3.00,-1.4671107716712934,92.3446547683464,-1.425,0.05088842911698821,6.644351815436789e-12
